2020-11-30 00:04:40,273 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:49] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000442', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:05:11,788 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:49] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000514', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:07:33,615 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000736', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:07:33,711 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000736', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:07:33,711 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000736', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:08:23,854 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000826', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:08:23,957 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000826', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:08:23,957 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000826', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:09:11,184 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000913', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:09:11,269 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000913', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
2020-11-30 00:09:11,269 - C:/Users/Administrator/PycharmProjects/test1/day13/atp/core/my_request.py[line:50] - DEBUG: url： http://api.nnzhp.cn/api/user/login 请求方式：post  data：{'username': 'niuhanyang', 'passwd': 'aA123456'} ,返回数据：{'staus': '1', 'data': {'error_code': 0, 'login_info': {'login_time': '20201130000913', 'sign': 'a5181550f51838d306a3ff059105a118', 'userId': 47749}}}
